,accuracy,precision,recall,f1score,AUC,AP
PABPC5,0.6162790697674418,0.6162029459901801,0.6152597402597402,0.614977614977615,0.6195887445887447,0.6088796706441435
PAM,0.7790697674418605,0.7792207792207793,0.7790697674418605,0.7790398918187964,0.8618171984856678,0.872359819622962
PARVA,0.7209302325581395,0.6528028933092225,0.5554098360655737,0.5392857142857143,0.7344262295081967,0.47319215720044294
PARVB,0.7441860465116279,0.7648809523809523,0.7408008658008658,0.7372222222222222,0.838474025974026,0.8486256225825239
PARVG,0.6976744186046512,0.70076726342711,0.6346483704974271,0.6334426229508197,0.7152658662092624,0.8186773993700658
PCDH11Y,0.7558139534883721,0.7776785714285714,0.6824046920821114,0.692595744680851,0.804692082111437,0.7188617823847723
PCDHB14,0.6162790697674418,0.6152173913043478,0.6149051490514905,0.6149776149776149,0.6151761517615176,0.611330867306908
PCDHB3,0.6046511627906976,0.5577376276512176,0.5420240137221269,0.5314102564102564,0.5417381360777588,0.4526485025735844
PCDHB5,0.5697674418604651,0.5314754098360656,0.5271493212669683,0.5227238638068097,0.5729638009049773,0.6887817360726823
PCOLCE,0.7558139534883721,0.7492997198879552,0.7472222222222222,0.7481522800167341,0.8122222222222222,0.8746028237749167
PDCD1LG2,0.7790697674418605,0.778804347826087,0.7780487804878049,0.7783204449871117,0.8520325203252033,0.8718759411280746
PDE6B---Cluster1,0.7558139534883721,0.7536585365853659,0.756578947368421,0.7541853817884852,0.7760416666666667,0.7254614831776814
PDE7B---Cluster2,0.7441860465116279,0.7956600361663653,0.6026365348399247,0.596760443307758,0.8581293157564344,0.6912509100332007
PDGFD---Cluster1,0.686046511627907,0.6338854382332644,0.6194581280788177,0.6237238697131745,0.7598522167487686,0.8879555148881942
PDLIM4---Cluster1,0.6976744186046512,0.6883618312189741,0.6913165266106442,0.6894444444444444,0.7876750700280112,0.8308087004268513
PDLIM7---Cluster1,0.7325581395348837,0.6470588235294117,0.6242236024844721,0.6317259355799665,0.728088336783989,0.4942226787490225
PDPN---Cluster1,0.8488372093023255,0.8591036414565827,0.8468614718614718,0.8471633629528367,0.9215367965367964,0.9252921355410995
PEPD,0.7906976744186046,0.6210526315789473,0.5821428571428571,0.5922023182297156,0.6415178571428571,0.30958062437810085
PGAM2---Cluster1,0.8372093023255814,0.8405555555555555,0.8331521739130434,0.8349780701754386,0.9201086956521739,0.9295918253305618
PHKA2---Cluster2,0.6976744186046512,0.7002710027100272,0.701582105837425,0.6975108225108225,0.7141298417894163,0.6628097253069546
PHLDA2---Cluster3,0.6162790697674418,0.31547619047619047,0.4818181818181818,0.381294964028777,0.629325513196481,0.7141512790203586
PHLDA2---Cluster4,0.6627906976744186,0.5109126984126984,0.5075914423740511,0.5007007007007007,0.6887508626639062,0.36816794458260127
PHTF1---Cluster1,0.7790697674418605,0.7797619047619048,0.7802168021680217,0.7790398918187966,0.8113821138211381,0.7949107973123529
PHYH,0.686046511627907,0.6417824074074074,0.660655737704918,0.645766590389016,0.7685245901639344,0.5610310840329816
PI3,0.8372093023255814,0.8354978354978355,0.8444444444444444,0.8357883251500273,0.893888888888889,0.8295222897209384
PICK1,0.8255813953488372,0.8255813953488372,0.8257575757575758,0.8255578093306288,0.9058441558441559,0.8995759813911968
PIK3CD,0.7558139534883721,0.6066907775768535,0.5446969696969697,0.5386973180076629,0.6886363636363636,0.8904970121261837
PIK3CG,0.6162790697674418,0.6181571815718157,0.6184782608695653,0.6162271805273833,0.7116847826086956,0.6653595711486137
PIP4K2C---Cluster1,0.8023255813953488,0.8023255813953488,0.8024891774891775,0.8022988505747126,0.8733766233766234,0.8289612008931123
PIPOX---Cluster1,0.7325581395348837,0.7908424908424909,0.7157608695652173,0.707871806232462,0.9184782608695653,0.9309233743110891
PITX1,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.924283396430503,0.923966961367959
PLA2G5---Cluster2,0.686046511627907,0.6734848484848486,0.6309319611206403,0.631837640716664,0.7055460263007434,0.7775706133865623
PLAC8,0.813953488372093,0.8179347826086957,0.8179347826086957,0.813953488372093,0.8777173913043478,0.8596723787732485
PLAT---Cluster1,0.7441860465116279,0.7149758454106281,0.6884452510586812,0.6967948717948719,0.8578342407743497,0.7003042631673502
PLAUR,0.7325581395348837,0.7146892655367232,0.6979166666666667,0.7033148342582871,0.7546296296296295,0.5838281707861798
PLCB2---Cluster1,0.6976744186046512,0.6791788856304986,0.6746712407089765,0.6765046296296297,0.7895940537449971,0.6826188275449921
PLEKHF2---Cluster1,0.7790697674418605,0.5710526315789474,0.5507042253521127,0.5553741496598639,0.7333333333333333,0.33721402221486496
PLOD2,0.7674418604651163,0.673881673881674,0.5882783882783883,0.596244131455399,0.5641025641025641,0.41665890795691535
