,accuracy,precision,recall,f1score,AUC,AP
CD300LF,0.7674418604651163,0.7427101200686106,0.7568058076225046,0.7478005865102639,0.8088324258923171,0.7043250280799814
CD33,0.6395348837209303,0.6160655737704919,0.6001131221719457,0.6001199940003,0.7726244343891403,0.8690616892160085
CD4,0.686046511627907,0.689159891598916,0.6913377192982456,0.6856640043319344,0.768640350877193,0.7101055710470316
CD48,0.7790697674418605,0.7834688346883469,0.7905555555555556,0.7783204449871116,0.8705555555555555,0.8429287321505609
CD53---Cluster1,0.7441860465116279,0.7429347826086956,0.7429347826086956,0.7429347826086957,0.8353260869565218,0.8841845448180393
CD69,0.686046511627907,0.6104833647206529,0.625,0.6147336983573917,0.7002840909090909,0.8924783343160501
CD74,0.686046511627907,0.606280193236715,0.603494623655914,0.6047659574468085,0.7022849462365592,0.8711907290056662
CD79B---Cluster1,0.7906976744186046,0.6736111111111112,0.6429738562091504,0.6544642857142857,0.7965686274509803,0.939826422284842
CD83---Cluster1,0.7558139534883721,0.756578947368421,0.7536585365853659,0.7541853817884852,0.8476964769647696,0.8488268955282716
CD86,0.7441860465116279,0.6534798534798535,0.6534798534798535,0.6534798534798535,0.7296703296703297,0.8674907256157227
CD93---Cluster1,0.6511627906976745,0.6431372549019607,0.640926640926641,0.6416666666666666,0.680088251516823,0.7721534452736668
CDC42EP3---Cluster1,0.6162790697674418,0.4758454106280193,0.4714052287581699,0.4716067771364737,0.6037581699346406,0.877398519762332
CDC42EP5---Cluster1,0.7441860465116279,0.7272167487684729,0.7135416666666667,0.7184523809523811,0.7650462962962964,0.8455141721540341
CDK4,0.8372093023255814,0.8433151845130067,0.8179271708683473,0.8258101851851852,0.9484593837535014,0.9705503927522062
CDKN3,0.813953488372093,0.8090337335620355,0.8028011204481793,0.8054298642533937,0.8173669467787115,0.871932280162335
CEBPD---Cluster1,0.7906976744186046,0.7467218771566597,0.7344262295081967,0.7399193548387097,0.7914754098360656,0.6633387598546745
CHAC1---Cluster1,0.7325581395348837,0.6994134897360704,0.7093596059113301,0.7033148342582871,0.8060344827586207,0.6591862821155867
CHAF1B,0.627906976744186,0.6295025728987993,0.6227642276422765,0.6205184776613348,0.6205962059620597,0.5917434900640729
CHI3L2---Cluster1,0.6744186046511628,0.6577777777777778,0.6643518518518519,0.659502262443439,0.7222222222222222,0.6359665567781626
CHL1,0.7674418604651163,0.756683033278778,0.7759530791788856,0.7591036414565826,0.7771260997067448,0.637790538119519
CHRNA9---Cluster1,0.6976744186046512,0.6452459016393443,0.6390458254865035,0.6416666666666666,0.7476459510357816,0.5345582325436428
CHST14---Cluster1,0.8488372093023255,0.8495670995670996,0.8501355013550136,0.848816768086545,0.8850948509485095,0.830183068379371
CIB2,0.6744186046511628,0.6744186046511628,0.6891495601173021,0.667953667953668,0.7167155425219941,0.5798106028236278
CIITA---Cluster1,0.7906976744186046,0.7961956521739131,0.7987938596491229,0.7905844155844156,0.8722587719298245,0.8243117883093768
CITED4---Cluster1,0.7093023255813954,0.696236559139785,0.6669525443110349,0.6720061022120518,0.7810177244139508,0.8566245814884551
CLDN1,0.5116279069767442,0.5244047619047619,0.5222826086956522,0.5049342105263157,0.5418478260869565,0.6147615415369357
CLEC12A,0.7558139534883721,0.7525745257452574,0.758888888888889,0.75311004784689,0.8388888888888888,0.7961253699603418
CLEC2B---Cluster1,0.6627906976744186,0.6550925925925926,0.6478212906784335,0.6490783734346419,0.7065637065637065,0.6136671127218243
CLN6---Cluster3,0.7674418604651163,0.775,0.7532894736842105,0.7567873303167421,0.8157894736842105,0.8549084273494805
CNTNAP2---Cluster1,0.7906976744186046,0.7941348973607039,0.7766133480419195,0.7811085972850678,0.8858246001103144,0.809557384780617
COCH,0.7209302325581395,0.6822660098522167,0.6822660098522167,0.6822660098522167,0.728448275862069,0.8416681892497843
COL12A1---Cluster1,0.6976744186046512,0.6892655367231638,0.66890756302521,0.6721407624633431,0.6907563025210084,0.6360124670058355
COL1A2---Cluster1,0.686046511627907,0.6481481481481481,0.6607030759573131,0.6517174141292936,0.7175141242937852,0.826317188135524
COL5A1---Cluster1,0.8372093023255814,0.8371212121212122,0.8371212121212122,0.8371212121212122,0.9237012987012987,0.9390967144241349
COL5A2,0.8023255813953488,0.8066740209597352,0.800865800865801,0.8010072138287736,0.8663419913419913,0.8561842864839592
COL6A1---Cluster2,0.7558139534883721,0.6032665964172813,0.5800653594771241,0.5868222374742621,0.5702614379084967,0.3201329406376838
COL6A2,0.6627906976744186,0.6139041633935585,0.5863095238095238,0.5861954537912726,0.7785714285714286,0.8844173256141642
COL6A3,0.627906976744186,0.5161036920659858,0.5134426229508197,0.5113636363636365,0.5914754098360655,0.811887248257146
COL8A1,0.7441860465116279,0.7380434782608696,0.747737556561086,0.7391064533921676,0.8184389140271493,0.7541404829455239
COLEC11---Cluster1,0.5581395348837209,0.5557359307359307,0.5582579185520362,0.5520833333333334,0.6436651583710407,0.49329834457719746
CPA1---Cluster2,0.627906976744186,0.5724590163934427,0.5668481548699335,0.5681104833647206,0.6436781609195401,0.8104243952868933
CPA4---Cluster1,0.813953488372093,0.8210583742498636,0.8210583742498636,0.813953488372093,0.9132569558101473,0.8767882396438778
CPA6,0.7209302325581395,0.7228260869565217,0.7218614718614718,0.7207792207792207,0.8300865800865801,0.8537529927100739
CPNE8---Cluster1,0.7674418604651163,0.5352564102564102,0.5196428571428571,0.5157657657657657,0.65,0.9042416036453351
CRB2---Cluster1,0.7790697674418605,0.7920821114369502,0.7706521739130434,0.7721377771579976,0.832608695652174,0.8402811652053749
CRIP1,0.6395348837209303,0.6159420289855072,0.5950226244343891,0.5932875667429443,0.6578054298642534,0.7321206341249625
CROT---Cluster2,0.7441860465116279,0.742415885273028,0.739770867430442,0.7406798245614035,0.7599563557010365,0.7174707710555018
CRYGD---Cluster1,0.7441860465116279,0.6938920454545454,0.675,0.6821236559139785,0.7987179487179487,0.9056798684206556
CSAG1---Cluster1,0.6046511627906976,0.596195652173913,0.6024305555555556,0.5938888888888889,0.6469907407407407,0.746655549599061
CSRP1---Cluster1,0.7674418604651163,0.7661334804191947,0.7632296781232951,0.7642543859649122,0.8297872340425532,0.8172742310819079
CSTB,0.8953488372093024,0.8970674486803518,0.8829185520361991,0.8887131560028756,0.9660633484162895,0.9819493953285515
CTSC,0.7325581395348837,0.7162464985994398,0.7233796296296297,0.7188343994314144,0.7737268518518519,0.6980663730319955
CTSZ---Cluster1,0.6627906976744186,0.6318681318681318,0.6041666666666667,0.6045663548438244,0.765625,0.8520374849525889
CUL1,0.7674418604651163,0.7651515151515151,0.7771493212669682,0.7642543859649122,0.8665158371040724,0.8040323275615072
CXCR4---Cluster1,0.6976744186046512,0.6787658802177858,0.6689536878216124,0.6721407624633431,0.7501429388221842,0.8187987021659245
CYB561---Cluster1,0.7674418604651163,0.7720588235294117,0.7614130434782609,0.7628240485383342,0.8282608695652174,0.849699776734505
CYB5R1---Cluster1,0.6627906976744186,0.6359953703703703,0.6378299120234604,0.63681374690549,0.7478005865102639,0.8610760341474452
CYP27A1,0.8488372093023255,0.8495670995670996,0.8501355013550136,0.848816768086545,0.9040650406504065,0.8756443880547233
CYP27B1,0.6976744186046512,0.6388278388278388,0.6189579409918393,0.6243279569892473,0.7313245448838669,0.8717684007774449
CYP2S1---Cluster2,0.6976744186046512,0.6533575317604357,0.6591337099811676,0.6557881773399015,0.7740112994350282,0.5725356548308451
CYP7B1,0.6046511627906976,0.5725806451612903,0.5610859728506787,0.557773744706594,0.5593891402714932,0.6653142295813927
DAPP1,0.7209302325581395,0.6864468864468865,0.6539624924379915,0.6616393442622951,0.7277676950998185,0.8224251443204544
DCHS1---Cluster1,0.7906976744186046,0.6736111111111112,0.6429738562091504,0.6544642857142857,0.7785947712418301,0.4963301711553082
