,accuracy,precision,recall,f1score,AUC,AP
CTSZ---Cluster1,0.7558139534883721,0.6262939958592133,0.6815476190476191,0.6384384384384384,0.701388888888889,0.90799551748123
CUL1,0.627906976744186,0.6224768139661756,0.6238279095421952,0.6228070175438597,0.6833976833976834,0.6923969385877085
CXCR4---Cluster1,0.7209302325581395,0.6637931034482758,0.678763440860215,0.6692307692307692,0.739247311827957,0.8790580259915141
CYB561---Cluster1,0.7093023255813954,0.6603009259259259,0.6911663216011041,0.6658896658896658,0.7342995169082125,0.8858466606444493
CYB5R1---Cluster1,0.5813953488372093,0.482051282051282,0.48011363636363635,0.47983870967741926,0.5667613636363636,0.8069259824470953
CYP27A1,0.8023255813953488,0.7911111111111111,0.7995997712978845,0.7942873223582384,0.8524871355060034,0.9026703112076833
CYP27B1,0.7325581395348837,0.5974358974358974,0.61875,0.604004004004004,0.6852678571428572,0.8624898440843375
CYP2S1---Cluster2,0.5930232558139535,0.5683333333333334,0.574410163339383,0.5672178289000719,0.6188747731397459,0.5363279846955584
CYP7B1,0.6046511627906976,0.5387731481481481,0.5507575757575758,0.5314102564102564,0.5742424242424242,0.7898264005062472
DAPP1,0.7906976744186046,0.6544642857142857,0.6544642857142857,0.6544642857142857,0.6125,0.8708205389558461
DCHS1---Cluster1,0.5813953488372093,0.5238095238095238,0.5256410256410257,0.5233990147783251,0.5833333333333334,0.3280512799007994
DCTD---Cluster1,0.686046511627907,0.6934782608695653,0.6994397759103641,0.684981684981685,0.7691876750700279,0.7761050832417465
DDB2,0.7790697674418605,0.76357918810749,0.7667824074074074,0.765061107117182,0.8466435185185185,0.8958165678593504
DDX43,0.5465116279069767,0.5240043644298964,0.53125,0.5046521931767833,0.5482954545454545,0.7709747292792147
DEDD2---Cluster1,0.7906976744186046,0.7967479674796748,0.8130360205831904,0.7888707037643208,0.8250428816466553,0.8762832532521496
DES,0.627906976744186,0.5414398064125832,0.5538098978790259,0.5376344086021505,0.6190102120974077,0.8615433395250371
DHX58,0.6511627906976745,0.6494565217391304,0.6494565217391304,0.6494565217391304,0.6239130434782608,0.5825051067994053
DIRAS3---Cluster1,0.6162790697674418,0.6123903508771931,0.6118385160938352,0.6120300751879699,0.6224768139661756,0.6862756588898906
DMBX1,0.6744186046511628,0.678030303030303,0.6958333333333333,0.667953667953668,0.7267857142857143,0.8542708900203769
DNMT3A---Cluster2,0.6162790697674418,0.6136238279095423,0.6119565217391305,0.6120300751879699,0.5913043478260869,0.5901375734231233
DOK2,0.6976744186046512,0.6976744186046511,0.6981029810298103,0.6975108225108224,0.7371273712737128,0.7182520079019991
DOK5---Cluster1,0.6627906976744186,0.6397058823529411,0.6448680351906159,0.6414090582314882,0.6879765395894427,0.7931750275921232
DOK7---Cluster1,0.8023255813953488,0.7853009259259259,0.789149560117302,0.7870977137032183,0.8193548387096774,0.8718498782167682
DPP7---Cluster1,0.7209302325581395,0.7088815789473684,0.7204861111111112,0.7109243697478991,0.7766203703703702,0.8491444682127213
DSCAML1---Cluster1,0.627906976744186,0.5480769230769231,0.5504032258064516,0.5488524590163935,0.6135752688172043,0.3457671823999438
DSE---Cluster1,0.5348837209302325,0.5340909090909092,0.5342391304347827,0.5338753387533876,0.5847826086956521,0.5862951234446752
DSG2---Cluster1,0.7093023255813954,0.6366995073891626,0.6626373626373626,0.6432719429235109,0.7003663003663004,0.8671035473215163
DUSP1---Cluster2,0.5930232558139535,0.5751096491228069,0.5828796128251663,0.5721393034825871,0.6279491833030854,0.7835182375552671
DUSP23,0.7093023255813954,0.5610328638497653,0.5492424242424243,0.5516162669447341,0.5734848484848485,0.31115794851906553
DUSP5,0.7325581395348837,0.7155555555555555,0.7275659824046921,0.7188343994314144,0.7800586510263929,0.8534285640915603
DYNLT3,0.627906976744186,0.5329703569267997,0.546462063086104,0.5251897860593513,0.5916453537936914,0.8692799243689079
EFCAB1---Cluster1,0.627906976744186,0.5671182266009852,0.5698717948717948,0.5681104833647207,0.45993589743589747,0.639209441572929
EFEMP1---Cluster1,0.6976744186046512,0.6915989159891599,0.7073313782991202,0.6894444444444445,0.7642228739002933,0.8312051799228601
EFEMP2---Cluster1,0.686046511627907,0.6839826839826839,0.6904761904761905,0.6825700615174299,0.6834733893557423,0.7088478081300849
EGLN2---Cluster1,0.5697674418604651,0.5228739002932552,0.5240147783251231,0.5227238638068097,0.5492610837438424,0.3818847188494219
EHD2---Cluster2,0.5930232558139535,0.5952380952380952,0.5985994397759103,0.5903089696474751,0.5310924369747899,0.6167230868944682
EHD3---Cluster2,0.6046511627906976,0.5712669683257918,0.5775862068965517,0.5712609970674487,0.5501847290640394,0.4140176917365704
ELL3---Cluster1,0.5930232558139535,0.5930232558139534,0.5942982456140351,0.5916429249762584,0.5635964912280702,0.48846070369887584
EMILIN1---Cluster2,0.7790697674418605,0.6278409090909091,0.7181818181818183,0.6437758883802049,0.6606060606060606,0.8991060102493742
EMILIN3---Cluster1,0.6511627906976745,0.6471861471861472,0.6674876847290641,0.6386554621848739,0.7241379310344827,0.8346589494180596
EMP3---Cluster1,0.7674418604651163,0.7572222222222222,0.7618778280542986,0.7591036414565827,0.793552036199095,0.8167494582449454
ENG---Cluster1,0.6162790697674418,0.6174242424242424,0.6183851609383524,0.6158115608501422,0.6470267321331151,0.662754435063311
ENTPD2---Cluster1,0.5116279069767442,0.47214561500275787,0.46032992930086414,0.44396551724137934,0.520816967792616,0.8161319658288343
EPB41L3,0.7558139534883721,0.721639344262295,0.708128078817734,0.7136514983351832,0.7857142857142857,0.6968029760853751
EPHA2---Cluster1,0.7093023255813954,0.6839285714285714,0.6812316715542522,0.6824693546005021,0.7648093841642228,0.8440067501001269
ERBB2---Cluster2,0.7790697674418605,0.7498533724340175,0.7623152709359606,0.7549122543872806,0.7980295566502462,0.8700019386253705
EREG---Cluster2,0.6162790697674418,0.5798611111111112,0.5834845735027223,0.5808595480726628,0.5795523290986087,0.7221161697053442
ERRFI1,0.5697674418604651,0.5046296296296297,0.5058608058608058,0.4954812113524655,0.5934065934065933,0.40296295535567683
ESAM---Cluster1,0.7209302325581395,0.6878216123499142,0.7062146892655368,0.6928571428571428,0.7702448210922788,0.8583642595084583
ESM1---Cluster1,0.686046511627907,0.5679487179487179,0.5995305164319249,0.5676782722025694,0.6178403755868545,0.8819689860175985
ESPNL,0.7325581395348837,0.6775641025641026,0.6816393442622951,0.679468481607519,0.7462295081967213,0.8813662123505589
EYA2---Cluster2,0.627906976744186,0.5827546296296297,0.5916666666666667,0.5837870538415003,0.6083333333333334,0.3934086198292045
EYA4---Cluster2,0.6976744186046512,0.6637731481481481,0.6742610837438423,0.6672619047619048,0.7869458128078818,0.9016199459940712
F13A1---Cluster1,0.6744186046511628,0.676948051948052,0.6849547511312217,0.6715766503000545,0.7550904977375565,0.8249750949973351
F2RL2---Cluster1,0.627906976744186,0.6352201257861635,0.627906976744186,0.6228070175438596,0.719848566792861,0.7137545867139259
F3---Cluster1,0.7906976744186046,0.7766133480419195,0.7941348973607039,0.7811085972850678,0.8281524926686218,0.8762248098717771
FAAH,0.6395348837209303,0.5469289164941339,0.5456989247311828,0.5462127659574468,0.5658602150537635,0.35082092710011914
FAH---Cluster1,0.5930232558139535,0.5902173913043478,0.5905619203491543,0.5903089696474751,0.6524822695035462,0.6563209470921963
FAIM---Cluster1,0.6395348837209303,0.6055718475073314,0.6071428571428572,0.6062619997046227,0.6678571428571428,0.7817224398539349
FAIM3---Cluster1,0.6627906976744186,0.658695652173913,0.6610590182018754,0.6590567327409432,0.7396580253723111,0.7896220718895388
FAM113B,0.7325581395348837,0.5464285714285715,0.5488262910798122,0.5474719743765729,0.6244131455399061,0.8790190981245667
FAM114A1---Cluster2,0.6511627906976745,0.6488095238095238,0.6555429864253394,0.6463815789473685,0.6917420814479638,0.7750697836764202
FAM124B---Cluster1,0.5930232558139535,0.5869565217391304,0.5896358543417366,0.586254295532646,0.6515406162464986,0.7258482375587516
FAM19A3---Cluster2,0.5930232558139535,0.6059027777777778,0.5991869918699186,0.5885167464114832,0.6002710027100271,0.5771260138439513
FAM26E,0.6046511627906976,0.5221674876847291,0.5255681818181819,0.520655737704918,0.6260653409090909,0.8349318072965077
FAM3C,0.6046511627906976,0.6048780487804878,0.6046511627906976,0.6044372294372294,0.6046511627906977,0.5838602002448205
FAM50B,0.5930232558139535,0.5761111111111111,0.5783304745568896,0.5764738989728437,0.6289308176100629,0.7277525867714587
