,0,1,2,3,4
309,NINJ1,,,,
310,NIPSNAP3A,,,,
311,NMUR1,,,,
312,NNAT,,,,
313,NOD1,,,,
314,NOTCH3,,,,
315,NQO2,,,,
316,NRN1,,,,
317,NSUN5,,,,
318,NSUN7,,,,
319,NUDT16,,,,
320,OCIAD2,,,,
321,OLFML2B,,,,
322,OSMR,,,,
323,OTOR,,,,
324,P2RY2,,,,
325,P4HA2,,,,
326,PARVA,,,,
327,PARVB,,,,
328,PCDHB14,,,,
329,PCDHB3,,,,
330,PCDHB5,,,,
331,PCDHB7,,,,
332,PDE1C,,,,
333,PDE6B,,,,
334,PDGFD,,,,
335,PDLIM4,,,,
336,PDPN,,,,
337,PEPD,,,,
338,PGCP,,,,
339,PHKA2,,,,
340,PHYH,,,,
341,PICK1,,,,
342,PIK3CD,,,,
343,PIK3CG,,,,
344,PIP4K2C,,,,
345,PLAT,,,,
346,PLAUR,,,,
347,PLXDC1,,,,
348,PMP22,,,,
349,PNPLA4,,,,
350,PODXL,,,,
351,POLE4,,,,
352,PPAPDC3,,,,
353,PPIA,,,,
354,PPIL5,,,,
355,PPM1M,,,,
356,PRDX1,,,,
357,PRKCDBP,,,,
358,PSMA7,,,,
359,PSMB8,,,,
360,PTGFRN,,,,
361,PTP4A3,,,,
362,PTPN14,,,,
363,PTPN18,,,,
364,PTPN6,,,,
365,PTPN9,,,,
366,PTRF,,,,
367,PYCARD,,,,
368,PYCARD,,,,
369,RAB32,,,,
370,RAB33B,,,,
371,RAB38,,,,
372,RAB3D,,,,
373,RAB42,,,,
374,RAC2,,,,
375,RARG,,,,
376,RARRES1,,,,
377,RARRES3,,,,
378,RASSF1,,,,
379,RASSF5,,,,
380,RCAN2,,,,
381,RCN3,,,,
382,RDM1,,,,
383,RFESD,,,,
384,RGS1,,,,
385,RGS16,,,,
386,RHCG,,,,
387,RHOD,,,,
388,RHOQ,,,,
389,RHPN2,,,,
390,RIN1,,,,
391,RIPK3,,,,
392,RNASE1,,,,
393,RNASE4,,,,
394,ROR2,,,,
395,RRAD,,,,
396,RRAS,,,,
397,RUNX1,,,,
398,RUSC1,,,,
399,S100A16,,,,
400,S100A8,,,,
401,SCG5,,,,
402,SELENBP1,,,,
403,SEMA3E,,,,
404,SEPT9,,,,
405,SERPINA3,,,,
406,SERPINB1,,,,
407,SERPINB9,,,,
408,SERPING1,,,,
409,SFRP4,,,,
410,SH2B3,,,,
411,SH2D4A,,,,
412,SH3BGRL3,,,,
413,SH3TC2,,,,
414,SHOX2,,,,
415,SIPA1,,,,
416,SIRT2,,,,
417,SLC10A4,,,,
418,SLC12A7,,,,
419,SLC16A3,,,,
420,SLC22A5,,,,
421,SLC25A20,,,,
422,SLC27A3,,,,
423,SLC2A10,,,,
424,SLC2A4RG,,,,
425,SLC40A1,,,,
426,SLC7A7,,,,
427,SLFN11,,,,
428,SLFN12,,,,
429,SLITRK4,,,,
430,SMPD3,,,,
431,SMS,,,,
432,SNAPC2,,,,
433,SNX21,,,,
434,SOCS1,,,,
435,SOCS2,,,,
436,SOX10,,,,
437,SPATA6,,,,
438,SPEF2,,,,
439,SPOCD1,,,,
440,SPRY1,,,,
441,SQRDL,,,,
442,SRPX2,,,,
443,ST3GAL4,,,,
444,STAP2,,,,
445,STAT6,,,,
446,STBD1,,,,
447,STK3,,,,
448,STX3,,,,
449,SUSD2,,,,
450,SWAP70,,,,
451,SYDE1,,,,
452,SYK,,,,
453,TC2N,,,,
454,TC2N,,,,
455,TCTEX1D1,,,,
456,TEKT3,,,,
457,TGFBI,,,,
458,TGFBR1,,,,
459,TGFBR2,,,,
460,THBS1,,,,
461,TIPIN,,,,
462,TMCO4,,,,
463,TMEM106C,,,,
464,TMEM132D,,,,
465,TMEM158,,,,
466,TMEM159,,,,
467,TMEM176B,,,,
468,TMEM19,,,,
469,TMEM2,,,,
470,TMEM22,,,,
471,TMEM51,,,,
472,TMSL3,,,,
473,TNFRSF10C,,,,
474,TNFSF12,,,,
475,TP63,,,,
476,TPBG,,,,
477,TPM4,,,,
478,TRAF1,,,,
479,TRAF5,,,,
480,TREM1,,,,
481,TRIM14,,,,
482,TRIM59,,,,
483,TRIP4,,,,
484,TRPC4,,,,
485,TSPAN4,,,,
486,TUFT1,,,,
487,UPP1,,,,
488,USP4,,,,
489,VILL,,,,
490,VNN2,,,,
491,VWA1,,,,
492,WEE1,,,,
493,WFIKKN2,,,,
494,XBP1,,,,
495,XKR8,,,,
496,YIF1B,,,,
497,ZAK,,,,
498,ZC3HAV1L,,,,
499,ZDHHC12,,,,
500,ZIC1,,,,
501,ZSCAN12,,,,
